Account logs for period 2024-05-01 to 2025-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Name,Archive ID,Message ID,Message Subject,Message Type,Google Analytics Source Tag,Google Analytics Campaign Tag,Google Analytics Medium Tag,Custom Tracking Tag,Message Description,Message Filter,Send Date,Emails Sent,  SMSs credit used  , Sms Sent ,Sms Failed,Total Transactional, Failed Transactional ,Reads,Unique Reads,Clicks,Unique Clicks,Bounces,Complaints,Forwards,Unsubscribes,Click Rate,Read Rate,Bounce rate,Complaint Rate,Unsubscribe Rate
Aucor Bloemfontein,,,,,,,,,,,,10," 867,516.00 ","772,422.00","95,094.00","13,313.16", -   ,,,,,,,,,,,,,
,7804385,527562,01.11.2024 - Warehouse BFN,sms,,,email,,,,2024/11/01 08:15,0, 563.00 ,563, -   ,, 78.82 ,550,550,0,0,13,0,0,0,0,100,2.31,0,0
,7808160,527714,06.11.2024 - Thungela,sms,,,email,,,,2024/11/01 11:37,0," 7,504.00 ","7,504.00", -   ,," 1,050.56 ",7395,7395,0,0,109,0,0,1,0,100,1.45,0,0.01
,7809609,527759,02.11.2024 - Aucor Emalahleni,sms,,,email,,,,2024/11/02 16:45,0, 222.00 ,222, -   ,, 31.08 ,215,215,0,0,7,0,0,0,0,100,3.15,0,0
,7809677,527763,03.11.2024 - Warehouse BFN,sms,,,email,,,,2024/11/03 16:45,0, 579.00 ,579, -   ,, 81.06 ,561,561,0,0,18,0,0,1,0,100,3.11,0,0.18
,7832596,527837,04.11.2024 - Warehouse BFN,sms,,,email,,,,2024/11/04 18:45,0, 542.00 ,542, -   ,, 75.88 ,523,523,0,0,19,0,0,2,0,100,3.51,0,0.38
,7833962,527973,05.11.2024 - Aucor Emalahleni,sms,,,email,,,,2024/11/05 17:45,0, 288.00 ,288, -   ,, 40.32 ,275,275,0,0,13,0,0,0,0,100,4.51,0,0
,7835726,528070,06.11.2024 - Warehouse BFN,sms,,,email,,,,2024/11/06 18:45,0, 589.00 ,589, -   ,, 82.46 ,571,571,0,0,18,0,0,1,0,100,3.06,0,0.18
,7841035,528159,07.11.2024 - Aucor Emalahleni,sms,,,email,,,,2024/11/07 17:45,0, 306.00 ,306, -   ,, 42.84 ,295,295,0,0,11,0,0,0,0,100,3.59,0,0
,7841101,528163,08.11.2024 - Warehouse BFN,sms,,,email,,,,2024/11/08 08:15,0, 490.00 ,490, -   ,, 68.60 ,481,481,0,0,9,0,0,0,0,100,1.84,0,0
,7843848,528277,14.11.2024 - Multi Mine Disposal,sms,,,email,,14.11.2024 - Multi Mine Disposal,,2024/11/08 16:31,0," 7,486.00 ","7,486.00", -   ,," 1,048.04 ",7369,7369,0,0,117,0,0,0,0,100,1.56,0,0
,7843924,528299,09.11.2024 - Aucor Emalahleni,sms,,,email,,,,2024/11/09 16:45,0, 300.00 ,300, -   ,, 42.00 ,286,286,0,0,14,0,0,0,0,100,4.67,0,0
,7843983,528303,10.11.2024 - Warehouse BFN,sms,,,email,,,,2024/11/10 16:03,0, 560.00 ,560, -   ,, 78.40 ,545,545,0,0,15,0,0,0,0,100,2.68,0,0
,7865952,528321,14.11.2024 - MULTI BANK,sms,,,email,,14.11.2024 - MULTI BANK,,2024/11/11 15:36,0," 13,060.00 ","13,060.00", -   ,," 1,828.40 ",12614,12614,0,0,446,0,0,9,0,100,3.42,0,0.07
,7865960,528388,11.11.2024 - Warehouse BFN,sms,,,email,,,,2024/11/11 18:45,0, 532.00 ,532, -   ,, 74.48 ,524,524,0,0,8,0,0,2,0,100,1.5,0,0.38
,7867873,528487,12.11.2024 - Aucor Emalahleni,sms,,,email,,,,2024/11/12 17:45,0, 277.00 ,277, -   ,, 38.78 ,264,264,0,0,13,0,0,0,0,100,4.69,0,0
,7876809,528581,13.11.2024 - Warehouse BFN,sms,,,email,,,,2024/11/13 18:45,0, 539.00 ,539, -   ,, 75.46 ,530,530,0,0,9,0,0,0,0,100,1.67,0,0
,7879893,528704,14.11.2024 - Aucor Emalahleni,sms,,,email,,,,2024/11/14 17:45,0, 255.00 ,255, -   ,, 35.70 ,247,247,0,0,8,0,0,0,0,100,3.14,0,0
,7879967,528710,15.11.2024 - Warehouse BFN,sms,,,email,,,,2024/11/15 08:15,0, 569.00 ,569, -   ,, 79.66 ,550,550,0,0,19,0,0,1,0,100,3.34,0,0.18
,7884340,528788,16.11.2024 - Aucor Emalahleni,sms,,,email,,,,2024/11/16 16:45,0, 333.00 ,333, -   ,, 46.62 ,315,315,0,0,18,0,0,1,0,100,5.41,0,0.32
,7884391,528791,17.11.2024 - Warehouse BFN,sms,,,email,,,,2024/11/17 16:45,0, 540.00 ,540, -   ,, 75.60 ,524,524,0,0,16,0,0,0,0,100,2.96,0,0
