TxDate,Description,Reference,Amount,UseTax,TaxType,TaxAccount,TaxAmount,Project,Account,IsDebit
01/08/2025,Everlytic - 31.01.2025 - Default Auction,LMJN020,8.54,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 31.01.2025 - Default Auction,LMJN020,8.54,N,,,0,,3020/BLM/005,Y
01/08/2025,Everlytic - 10.12.2024 - Aucor Emalahleni,LMJN020,27.16,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 10.12.2024 - Aucor Emalahleni,LMJN020,27.16,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 23.01.2025 - Aucor eMalahleni,LMJN020,27.72,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 23.01.2025 - Aucor eMalahleni,LMJN020,27.72,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 21.01.2025 - Aucor eMalahleni,LMJN020,28.14,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 21.01.2025 - Aucor eMalahleni,LMJN020,28.14,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 09.01.2025 - Aucor Emalahleni,LMJN020,29.54,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 09.01.2025 - Aucor Emalahleni,LMJN020,29.54,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 04.12.2024 - Warehouse BFN,LMJN020,30.1,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 04.12.2024 - Warehouse BFN,LMJN020,30.1,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 14.01.2025 - Aucor eMalahleni,LMJN020,30.38,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 08.12.2024 - Aucor Emalahleni,LMJN020,30.38,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 08.12.2024 - Aucor Emalahleni,LMJN020,30.38,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 14.01.2025 - Aucor eMalahleni,LMJN020,30.38,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 02.11.2024 - Aucor Emalahleni,LMJN020,31.08,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 02.11.2024 - Aucor Emalahleni,LMJN020,31.08,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 17.12.2024 - Aucor Emalahleni,LMJN020,31.5,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 17.12.2024 - Aucor Emalahleni,LMJN020,31.5,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 30.01.2025 - Aucor eMalahleni,LMJN020,31.92,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 30.01.2025 - Aucor eMalahleni,LMJN020,31.92,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 15.12.2024 - Aucor Emalahleni,LMJN020,32.48,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 03.12.2024 - Aucor Emalahleni,LMJN020,32.48,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 03.12.2024 - Aucor Emalahleni,LMJN020,32.48,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 15.12.2024 - Aucor Emalahleni,LMJN020,32.48,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 11.01.2025 - Aucor Emalahleni,LMJN020,33.04,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 11.01.2025 - Aucor Emalahleni,LMJN020,33.04,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 05.12.2024 - Aucor Emalahleni,LMJN020,33.88,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 05.12.2024 - Aucor Emalahleni,LMJN020,33.88,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 07.12.2024 - Aucor Emalahleni,LMJN020,34.3,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 30.11.2024 - Aucor Emalahleni,LMJN020,34.3,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 07.12.2024 - Aucor Emalahleni,LMJN020,34.3,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 30.11.2024 - Aucor Emalahleni,LMJN020,34.3,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 18.01.2025 - Aucor eMalahleni,LMJN020,35,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 18.01.2025 - Aucor eMalahleni,LMJN020,35,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 25.01.2025 - Aucor eMalahleni,LMJN020,35.14,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 25.01.2025 - Aucor eMalahleni,LMJN020,35.14,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 28.01.2025 - Aucor eMalahleni,LMJN020,35.28,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 28.01.2025 - Aucor eMalahleni,LMJN020,35.28,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 14.11.2024 - Aucor Emalahleni,LMJN020,35.7,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 14.11.2024 - Aucor Emalahleni,LMJN020,35.7,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 16.01.2025 - Aucor eMalahleni,LMJN020,35.98,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 16.01.2025 - Aucor eMalahleni,LMJN020,35.98,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 14.12.2024 - Aucor Emalahleni,LMJN020,37.24,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 14.12.2024 - Aucor Emalahleni,LMJN020,37.24,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 19.11.2024 - Aucor Emalahleni,LMJN020,37.38,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 19.11.2024 - Aucor Emalahleni,LMJN020,37.38,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 28.11.2024 - Aucor Emalahleni,LMJN020,37.66,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 28.11.2024 - Aucor Emalahleni,LMJN020,37.66,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 26.11.2024 - Aucor Emalahleni,LMJN020,38.22,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 26.11.2024 - Aucor Emalahleni,LMJN020,38.22,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 12.11.2024 - Aucor Emalahleni,LMJN020,38.78,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 12.11.2024 - Aucor Emalahleni,LMJN020,38.78,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 21.11.2024 - Aucor Emalahleni,LMJN020,39.62,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 21.11.2024 - Aucor Emalahleni,LMJN020,39.62,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 07.01.2025 - Aucor Emalahleni,LMJN020,40.32,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 05.11.2024 - Aucor Emalahleni,LMJN020,40.32,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 05.11.2024 - Aucor Emalahleni,LMJN020,40.32,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 07.01.2025 - Aucor Emalahleni,LMJN020,40.32,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 09.11.2024 - Aucor Emalahleni,LMJN020,42,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 09.11.2024 - Aucor Emalahleni,LMJN020,42,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 07.11.2024 - Aucor Emalahleni,LMJN020,42.84,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 07.11.2024 - Aucor Emalahleni,LMJN020,42.84,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 17.12.2024 - Warehouse BFN,LMJN020,45.78,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 17.12.2024 - Warehouse BFN,LMJN020,45.78,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 04.01.2025 - Aucor Emalahleni,LMJN020,46.48,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 04.01.2025 - Aucor Emalahleni,LMJN020,46.48,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 16.11.2024 - Aucor Emalahleni,LMJN020,46.62,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 16.11.2024 - Aucor Emalahleni,LMJN020,46.62,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 23.11.2024 - Aucor Emalahleni,LMJN020,49.28,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 23.11.2024 - Aucor Emalahleni,LMJN020,49.28,N,,,0,,3020/WB/005,Y
01/08/2025,Everlytic - 15.12.2024 - Warehouse BFN,LMJN020,56,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 15.12.2024 - Warehouse BFN,LMJN020,56,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 24.01.2025 - Warehouse BFN,LMJN020,59.36,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 24.01.2025 - Warehouse BFN,LMJN020,59.36,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 09.12.2024 - Warehouse BFN,LMJN020,60.48,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 09.12.2024 - Warehouse BFN,LMJN020,60.48,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 16.12.2024 - Warehouse BFN,LMJN020,60.62,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 16.12.2024 - Warehouse BFN,LMJN020,60.62,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 20.12.2024 - Warehouse BFN,LMJN020,61.46,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 20.12.2024 - Warehouse BFN,LMJN020,61.46,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 06.01.2025 - Warehouse BFN,LMJN020,62.16,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 06.01.2025 - Warehouse BFN,LMJN020,62.16,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 25.11.2024 - Warehouse BFN,LMJN020,62.86,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 25.11.2024 - Warehouse BFN,LMJN020,62.86,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 18.12.2024 - Warehouse BFN,LMJN020,64.12,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 18.12.2024 - Warehouse BFN,LMJN020,64.12,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 02.12.2024 - Warehouse BFN,LMJN020,65.52,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 02.12.2024 - Warehouse BFN,LMJN020,65.52,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 27.11.2024 - Warehouse BFN,LMJN020,66.22,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 27.11.2024 - Warehouse BFN,LMJN020,66.22,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 17.01.2025 - Warehouse BFN,LMJN020,68.04,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 17.01.2025 - Warehouse BFN,LMJN020,68.04,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 10.01.2025 - Warehouse BFN,LMJN020,68.18,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 10.01.2025 - Warehouse BFN,LMJN020,68.18,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 08.11.2024 - Warehouse BFN,LMJN020,68.6,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 08.11.2024 - Warehouse BFN,LMJN020,68.6,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 20.11.2024 - Warehouse BFN,LMJN020,69.58,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 20.11.2024 - Warehouse BFN,LMJN020,69.58,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 08.12.2024 - Warehouse BFN,LMJN020,70.14,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 08.12.2024 - Warehouse BFN,LMJN020,70.14,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 08.01.2025 - Warehouse BFN,LMJN020,71.12,N,,,0,,8002/BLM/027/046,N
01/08/2025,Everlytic - 08.01.2025 - Warehouse BFN,LMJN020,71.12,N,,,0,,3020/BLM/007,Y
01/08/2025,Everlytic - 18.11.2024 - Warehouse BFN,LMJN020,71.4,N,,,0,,8002/BLM/027/046,N
